Country,Total Pop. (1000s) 1995,Current Pop. Density (persons/km2) 1995,Projected Pop. Density (persons/km2) 2025,Total Urban Pop. (1000s) 1995,Urban Pop. in Coastal Cities (1000s) 1980,GDP per Capita in Constant PPP ('85IN$) 1992,GDP from Agriculture (%) 1993,GDP from Industry (%) 1993,GDP from Services (%) 1993,GDP Annual Growth Rate (%) 1993,Total Land Area (1000ha) 1993,Arable and Permanent Cropland (1000ha) 1993,Permanent Pasture (1000 ha) 1993,Forest and Woodland (1000 ha) 1993,Other Land (1000ha) 1993,Water Resources per Capita (m3) 1995,Domestic Annual Withdraws (%) 1995,Industry Annual Withdraws (%) 1995,Agriculture Annual Withdraws (%) 1995,Irrigated Land (1000ha) 1993,Agricultural Labor Force (1000s) 1993,Total Labor Force (1000s) 1993,Cattle Stocks (1000s) 1994,Sheep Stocks (1000s) 1994,Goat Stocks (1000s) 1994,Pig Stocks (1000s) 1994,Equines (horses /mules/asses) (1000s) 1994,Buffalo Stocks (1000s) 1994,Camel Stocks (1000s) 1994,Total Commercial Energy Consumption (PJ) 1993,Traditional Fuel Consumption (TJ) 1991,Commercial Hydroelectric Consumption (PJ) 1993,Known Mammal Species (#) 1990's,Endemic Mammal Species (#) 1990's,Known Bird Species (#) 1990's,Endemic Bird Species (#) 1990's,Known Plant Species (#) 1990's,Endemic Plant Species (#) 1990's,,,,,,
Liechtenstein,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,
Lithuania,3700,57,59,2667,X,X,20.54,41.47,38,-16.2,"4,551",3008,460,2000,X,6541,7,90,3,X,X,X,1650,48,9,1200,78,X,X,368,0,1.41,68,0,305,0,"1,200",X,,,,,,
Luxembourg,406,157,170,361,X,16798,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,X,X,160,196,1.67,X,X,X,X,X,X,,,,,,
Macedonia,2163,84,100,1294,X,X,X,X,X,X,2543,663,634,1000,246,X,X,X,X,83,X,X,276,2444,X,181,62,1,X,139,0,3.24,X,0,X,0,X,X,,,,,,
Moldova,4432,132,152,2293,X,X,34.59,47.69,17.72,-14,3297,2193,421,421,262,3093,7,70,23,311,X,X,916,1373,72,1165,57,X,X,234,0,1.35,68,0,270,0,X,X,,,,,,
Monaco,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,
Netherlands,15503,380,398,13801,7764,13281,X,X,X,X,3392,934,1051,350,1057,5805,5,61,34,560,204,6314,4629,2198,13,13991,66,X,X,3306,2298,0.33,55,0,456,0,"1,170",X,,,,,,
Norway,4337,13,15,2667,2324,15518,X,X,X,X,30683,890,123,8330,21340,90385,20,72,8,97,99,2190,1003,2316,89,745,22,X,X,904,9449,430.24,54,0,453,0,"1,650",1,,,,,,
Poland,38388,119,129,24853,1842,3826,6.33,38.59,55.08,4,30442,14668,4047,8785,2942,1464,13,76,11,100,3710,19674,7696,870,X,19466,721,X,X,4056,27819,12.87,79,0,421,0,"2,300",3,,,,,,
Portugal,9823,106,105,3496,2352,X,X,X,X,-0.5,9195,3160,840,3300,1895,7085,15,37,48,630,644,4540,1322,5991,836,1487,275,X,X,603,5639,31.45,63,1,441,2,"2,500",150,,,,,,
Romania,22835,96,92,12650,573,X,20.51,39.88,39.61,1.2,23034,9941,4852,6682,1559,9109,8,33,59,3102,2118,11848,3597,11499,776,9262,785,0,X,1762,19364,45.96,84,0,368,0,"3,175",41,,,,,,
Russian Federation,147000,9,8,111736,18372,X,X,X,X,-12,"1,699,580",133900,76200,778500,X,30599,17,60,23,4000,16389,144909,48900,41078,2622,28600,2520,140,10,30042,0,630.63,X,X,X,X,X,X,,,,,,
San Marino,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,
Slovak Republic,5353,109,123,3146,X,X,6.69,43.9,49.41,-4.4,4808,1613,835,1991,369,5753,X,X,X,80,X,X,916,397,12,2179,0,X,X,672,0,10.89,X,X,X,X,X,X,,,,,,
Slovenia,1946,96,90,1236,X,X,5.64,36.04,58.32,X,2012,301,558,1020,133,X,X,X,X,2,X,X,504,21,8,620,0,X,X,194,0,10.88,69,0,361,0,X,X,,,,,,
Spain,39621,78,74,30292,13903,9802,X,X,X,X,49944,19656,10300,16137,3851,2809,12,26,62,3453,1380,14821,5000,23838,2739,18188,412,X,X,3359,18420,92.8,82,4,506,5,X,X,,,,,,
Sweden,8780,20,22,7296,4018,13986,X,X,X,X,41162,2780,576,28000,9806,20501,36,55,9,115,153,4442,1830,483,X,2168,86,X,X,1660,122254,271.37,60,0,463,0,"4,916",941,,,,,,
Switzerland,7202,174,189,4379,X,15887,X,X,X,X,3955,467,1114,1252,1122,6943,23,73,4,25,122,3458,1700,425,52,1680,57,X,X,985,14481,131.82,75,0,400,0,"1,650",1,,,,,,
Ukraine,51380,85,81,36099,X,X,34.72,47.15,18.13,-18.5,57935,34417,7473,10331,5714,4496,16,54,30,2605,X,X,21607,6118,745,15298,731,X,X,8058,0,40.45,X,1,X,0,"2,927",1,,,,,,
United Kingdom,58258,239,252,52119,26765,12724,X,X,X,X,24160,6127,11048,2438,4547,1219,20,77,3,108,523,28567,11735,29300,X,7910,184,X,X,1039,4150,20.47,50,0,590,1,"1,550",16,,,,,,
Yugoslavia,10849,106,112,6134,1236,X,X,X,X,X,X,X,X,2700,X,X,X,X,X,0,2104,10955,1809,2752,X,4000,82,19,X,381,29554,36.05,X,X,X,X,X,X,,,,,,
