Country,Total Pop. (1000s) 1995,Current Pop. Density (persons/km2) 1995,Projected Pop. Density (persons/km2) 2025,Total Urban Pop. (1000s) 1995,Urban Pop. in Coastal Cities (1000s) 1980,GDP per Capita in Constant PPP ('85IN$) 1992,GDP from Agriculture (%) 1993,GDP from Industry (%) 1993,GDP from Services (%) 1993,GDP Annual Growth Rate (%) 1993,Total Land Area (1000ha) 1993,Arable and Permanent Cropland (1000ha) 1993,Permanent Pasture (1000 ha) 1993,Forest and Woodland (1000 ha) 1993,Other Land (1000ha) 1993,Water Resources per Capita (m3) 1995,Domestic Annual Withdraws (%) 1995,Industry Annual Withdraws (%) 1995,Agriculture Annual Withdraws (%) 1995,Irrigated Land (1000ha) 1993,Agricultural Labor Force (1000s) 1993,Total Labor Force (1000s) 1993,Cattle Stocks (1000s) 1994,Sheep Stocks (1000s) 1994,Goat Stocks (1000s) 1994,Pig Stocks (1000s) 1994,Equines (horses /mules/asses) (1000s) 1994,Buffalo Stocks (1000s) 1994,Camel Stocks (1000s) 1994,Total Commercial Energy Consumption (PJ) 1993,Traditional Fuel Consumption (TJ) 1991,Commercial Hydroelectric Consumption (PJ) 1993,Known Mammal Species (#) 1990's,Endemic Mammal Species (#) 1990's,Known Bird Species (#) 1990's,Endemic Bird Species (#) 1990's,Known Plant Species (#) 1990's,Endemic Plant Species (#) 1990's,,,,,,
Cote d'Ivoire,14253,44,114,6211,1495,1104,37.42,24.06,38.52,-1.1,31800,3710,13000,7080,8010,5451,22,11,67,68,2616,4964,1232,1251,976,404,0,X,X,109,102843,3.95,230,1,694,0,"3,517",62,,,,,,
Dem. Republic of Congo (Zaire),43901,19,45,12766,102,X,X,X,X,X,226705,7900,15000,173800,30005,23211,61,16,23,10,9312,14510,1696,1012,4317,1185,0,X,X,73,365076,21.68,415,28,"1,096",22,"11,000","1,100",,,,,,
Djibouti,577,25,45,478,211,X,2.85,21.2,75.95,X,2318,X,X,6,X,X,X,X,X,X,X,X,190,470,507,X,8,X,62,18,0,0,X,X,X,X,X,X,,,,,,
Egypt,62931,63,97,28170,4246,1869,17.87,22.38,59.74,0.5,99545,2800,4950,31,91764,923,6,9,85,3246,6119,15674,3070,3382,3210,27,1661,3200,133,1226,45365,30.67,98,7,439,0,"2,066",70,,,,,,
Equatorial Guinea,400,14,28,169,181,X,47.2,25.84,26.96,7.3,2805,230,104,1300,1171,75000,81,13,6,X,79,152,5,36,8,5,0,X,X,2,4367,0.01,184,3,322,3,"3,000",66,,,,,,
Eritrea,3531,30,60,607,X,X,13.15,20.67,66.18,X,10100,1280,4800,2000,2020,2492,X,X,X,28,X,X,1550,1510,1400,X,0,X,69,X,0,0,112,0,537,0,X,X,,,,,,
Ethiopia,55053,50,115,7371,760,X,60.45,10.3,29.25,7.7,110100,13930,44750,25000,26420,1998,11,3,86,0,16250,22320,29450,5000,16700,20,630,X,1000,45,414055,4.09,255,31,813,28,"6,500","1,000",,,,,,
Gabon,1320,5,10,660,155,3622,8.24,44.93,46.83,2.5,25767,460,4700,19900,707,124242,72,22,6,4,355,546,38,170,83,165,0,X,X,32,26415,2.56,190,2,629,0,"6,500",X,,,,,,
Gambia,1118,99,186,286,109,X,27.53,14.63,57.84,1.5,1000,180,90,280,450,7156,7,2,91,15,332,414,414,121,150,11,46,X,X,3,8939,0,108,0,504,0,966,X,,,,,,
Ghana,17453,73,159,6333,1336,956,47.55,16.08,36.37,4.8,22754,4320,5000,7900,5534,3048,35,13,52,6,2865,5961,1680,3288,3337,595,15,X,X,67,151523,22.01,222,1,725,1,"3,600",43,,,,,,
Guinea,6700,27,61,1981,696,740,23.92,31.13,44.94,4.5,24572,730,5500,14460,3882,33731,10,3,87,93,1903,2650,1658,435,460,33,3,X,X,15,35275,0.68,190,1,552,0,"3,000",88,,,,,,
